ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_PLMN_NAME_192	26268	O2-de	12	
STR_PLMN_NAME_193	26269	GIBTEL	14	
STR_PLMN_NAME_194	26270	COSMOTE GR	22	
STR_PLMN_NAME_195	26271	vodafone GR	24	
STR_PLMN_NAME_196	26272	WIND GR	16	
STR_PLMN_NAME_197	26273	TELE GRL	18	
STR_PLMN_NAME_198	26274	H pannon	18	
STR_PLMN_NAME_199	26275	T-Mobile H	22	
STR_PLMN_NAME_200	26276	vodafone HU	24	
STR_PLMN_NAME_201	26277	Siminn	14	
STR_PLMN_NAME_202	26278	Viking	14	
STR_PLMN_NAME_203	26279	IceCell	16	
STR_PLMN_NAME_204	26280	On-waves	18	
STR_PLMN_NAME_205	26281	NOVA	10	
STR_PLMN_NAME_206	26282	vodafone IRL	26	
STR_PLMN_NAME_207	26283	O2 IRL	14	
STR_PLMN_NAME_208	26284	METEOR IRL	22	
STR_PLMN_NAME_209	26285	3 IRL	12	
STR_PLMN_NAME_210	26286	TIM IT	14	
STR_PLMN_NAME_211	26287	vodafone IT	24	
STR_PLMN_NAME_212	26288	WIND IT	16	
STR_PLMN_NAME_213	26289	3 IT	10	
STR_PLMN_NAME_214	26290	Beeline KZ	22	
STR_PLMN_NAME_215	26291	KCELL KZ	18	
STR_PLMN_NAME_216	26292	NEO KZ	14	
STR_PLMN_NAME_217	26293	LMT LV	14	
STR_PLMN_NAME_218	26294	TELE2 LV	18	
STR_PLMN_NAME_219	26295	BITE LV	16	
STR_PLMN_NAME_220	26296	SwisscomFL	22	
STR_PLMN_NAME_221	26297	Orange FL	20	
STR_PLMN_NAME_222	26298	FL1	8	
STR_PLMN_NAME_223	26299	LI TANGO	18	
STR_PLMN_NAME_224	26300	OMNITEL LT	22	
STR_PLMN_NAME_225	26301	LT BITE GSM	24	
STR_PLMN_NAME_226	26302	L LUXGSM	18	
STR_PLMN_NAME_227	26303	L TANGO	16	
STR_PLMN_NAME_228	26304	L VOX	12	
STR_PLMN_NAME_229	26305	T-Mobile MK	24	
STR_PLMN_NAME_230	26306	COSMOFON MKD	26	
STR_PLMN_NAME_231	26307	Vip MKD	16	
STR_PLMN_NAME_232	26308	vodafone MT	24	
STR_PLMN_NAME_233	26309	go mobile	20	
STR_PLMN_NAME_234	26310	3GT MT	14	
STR_PLMN_NAME_235	26311	Orange MD	20	
STR_PLMN_NAME_236	26312	MOLDCELL MD	24	
STR_PLMN_NAME_237	26313	EVENTIS MD	22	
STR_PLMN_NAME_238	26314	Vodafone NL	24	
STR_PLMN_NAME_239	26315	KPN NL	14	
STR_PLMN_NAME_240	26316	Telfort NL	22	
STR_PLMN_NAME_241	26317	T-Mobile NL	24	
STR_PLMN_NAME_242	26318	Orange NL	20	
STR_PLMN_NAME_243	26319	N Telenor	20	
STR_PLMN_NAME_244	26320	N NetCom	18	
STR_PLMN_NAME_245	26321	MTU	8	
STR_PLMN_NAME_246	26322	Mobile Norway	28	
STR_PLMN_NAME_247	26323	Plus	10	
STR_PLMN_NAME_248	26324	Era	8	
STR_PLMN_NAME_249	26325	Orange PL	20	
